type,Pole
Q,0,0,0,0
R,0
Eigenvalue,0.994587+0j,0.916229+0j,0.945962+0.00594968j,0.945962+-0.00594968j
Gain,30.9996,4.90698,0.0930444,0.371156
time,elapsed_time,theta_p,theta_p_dot,theta_w,theta_w_dot,theta_p_kf,theta_p_dot_kf,theta_w_kf,theta_w_dot_kf,log_motor_value,log_motor_direction,log_pwm_duty
1740906945.332,0.97752,-0.01673,1.93308,1.47580,0.00000,-0.12165,0.26956,1.42332,-2.94458,-3.30000,2,66.00000
1740906945.343,0.98907,0.00310,1.38330,1.46010,-1.57000,-0.09973,0.49490,1.39832,-3.94924,-2.16886,2,43.00000
1740906945.353,0.99890,0.01526,1.02628,1.42870,-3.14000,-0.08586,0.65209,1.36481,-4.85952,-1.30856,2,26.00000
1740906945.366,1.01179,0.01549,0.83604,1.41300,-1.57001,-0.07578,0.70796,1.32894,-5.24239,-0.86717,2,17.00000
1740906945.374,1.01970,0.01507,1.01641,1.39730,-1.56999,-0.06241,0.73478,1.29409,-5.26761,-0.33370,2,6.00000
1740906945.385,1.03115,0.01837,0.89988,1.36590,-3.14000,-0.05111,0.72777,1.26020,-5.12292,0.37263,1,7.00000
1740906945.397,1.04238,0.02325,0.60325,1.35020,-1.57001,-0.04468,0.66381,1.23164,-4.74881,0.39418,1,7.00000
1740906945.407,1.05303,0.02504,0.63614,1.33450,-1.57001,-0.03679,0.58103,1.20896,-4.13477,0.45833,1,9.00000
1740906945.415,1.06131,0.02435,0.45895,1.33450,0.00000,-0.03151,0.49154,1.19507,-3.51933,0.41014,1,8.00000
1740906945.426,1.07206,0.02278,0.61015,1.31880,-1.56999,-0.02300,0.43476,1.18546,-2.94899,0.60603,1,12.00000
1740906945.437,1.08272,0.02213,0.53180,1.31880,0.00000,-0.01564,0.38410,1.18209,-2.42093,0.78137,1,15.00000
1740906945.448,1.09379,0.02139,0.78281,1.30310,-1.57001,-0.00354,0.36770,1.18082,-1.90105,1.26878,1,25.00000
1740906945.460,1.10601,0.02238,0.64083,1.30310,0.00000,0.00610,0.33578,1.18459,-1.34221,1.61889,1,32.00000
1740906945.470,1.11560,0.02287,0.67296,1.30310,0.00000,0.01669,0.29583,1.19296,-0.65623,2.00659,1,40.00000
1740906945.480,1.12565,0.02390,0.63206,1.30310,0.00000,0.02689,0.24871,1.20617,0.09582,2.37177,1,47.00000
1740906945.491,1.13713,0.02366,0.66776,1.30310,0.00000,0.03809,0.20318,1.22394,0.91137,2.79988,1,55.00000
1740906945.501,1.14700,0.02388,0.70591,1.30310,0.00000,0.05028,0.16171,1.24607,1.77163,3.29565,1,65.00000
1740906945.511,1.15636,0.02411,0.70376,1.30310,0.00000,0.06275,0.11706,1.27243,2.69369,3.30000,1,66.00000
1740906945.521,1.16678,0.02356,0.75991,1.30310,0.00000,0.07655,0.07407,1.30289,3.68841,3.30000,1,66.00000
1740906945.531,1.17706,0.02725,0.67550,1.30310,0.00000,0.08888,0.04165,1.33690,4.57473,3.30000,1,66.00000
1740906945.542,1.18829,0.03430,0.79638,1.31880,1.57001,0.10333,0.04010,1.37532,5.36621,3.30000,1,66.00000
1740906945.552,1.19791,0.06169,-0.78101,1.35020,3.14000,0.09005,-0.13354,1.42157,6.19835,3.30000,1,66.00000
1740906945.563,1.20841,0.05342,-0.85841,1.42870,7.85000,0.07679,-0.29775,1.47993,7.02115,3.30000,1,66.00000
1740906945.574,1.21968,0.03819,-0.38747,1.47580,4.70999,0.07298,-0.38342,1.54197,7.72111,3.30000,1,66.00000
1740906945.583,1.22925,0.03655,0.14619,1.49150,1.57001,0.07905,-0.38693,1.60143,8.26242,3.30000,1,66.00000
1740906945.594,1.23951,0.04383,-0.46024,1.53860,4.70998,0.07439,-0.45434,1.66468,8.79756,3.30000,1,66.00000
1740906945.605,1.25124,0.03654,-1.25117,1.61710,7.85002,0.05635,-0.60626,1.73601,9.37163,2.58180,1,51.00000
1740906945.615,1.26086,0.02412,-0.85021,1.66420,4.70998,0.04652,-0.69183,1.80718,9.83100,2.03436,1,40.00000
1740906945.626,1.27151,0.01491,-0.54096,1.74270,7.85002,0.04227,-0.69738,1.88196,9.98862,1.94086,1,38.00000
1740906945.637,1.28295,0.01219,-0.32547,1.80550,6.27999,0.04146,-0.64885,1.95490,9.90078,2.12789,1,42.00000
1740906945.647,1.29250,0.01126,-0.81461,1.85260,4.71001,0.03161,-0.65726,2.02365,9.78384,1.74425,1,34.00000
1740906945.657,1.30329,0.00387,-0.59248,1.89970,4.70999,0.02589,-0.65062,2.08813,9.70330,1.57565,1,31.00000
1740906945.669,1.31499,-0.00288,-0.42516,1.96250,6.27999,0.02281,-0.60966,2.15111,9.48126,1.60459,1,32.00000
1740906945.679,1.32446,-0.00301,-0.37740,2.02530,6.28000,0.02020,-0.56253,2.21199,9.21347,1.66129,1,33.00000
1740906945.689,1.33484,-0.00267,-0.41955,2.08810,6.28002,0.01659,-0.53055,2.27116,8.98446,1.62676,1,32.00000
1740906945.701,1.34635,-0.00728,-0.40527,2.15090,6.27999,0.01307,-0.50705,2.32912,8.79919,1.56964,1,31.00000
1740906945.710,1.35610,-0.01258,-0.38312,2.19800,4.70998,0.00975,-0.48356,2.38369,8.59707,1.51192,1,30.00000
1740906945.721,1.36647,-0.01787,-0.28494,2.26080,6.28002,0.00796,-0.45279,2.43787,8.39941,1.53932,1,30.00000
1740906945.732,1.37760,-0.02112,-0.25452,2.30790,4.71001,0.00645,-0.42053,2.48908,8.18165,1.57474,1,31.00000
